circuit_id,country,circuit_name
1, United Arab Emirates,Yas Marina Circuit
2, Bahrain,Bahrain International Circuit
3, Turkey,Istanbul Park
4, Italy,Autodromo Internazionale Enzo e Dino Ferrari
5, Portugal,Algarve International Circuit
6, Germany,Nürburgring
7, Russia,Sochi Autodrom
8, Italy,Autodromo Internazionale del Mugello
9, Italy,Autodromo Nazionale Monza
10, Belgium,Circuit de Spa-Francorchamps
11, Spain,Circuit de Barcelona-Catalunya
12, United Kingdom,Silverstone Circuit
13, Hungary,Hungaroring
14, Austria,Red Bull Ring
15, Saudi Arabia,Jeddah Corniche Circuit
16, Qatar,Losail International Circuit
17, Brazil,Autódromo José Carlos Pace
18, Mexico,Autódromo Hermanos Rodríguez
19, United States of America,Circuit of the Americas
20, Netherlands,Circuit Park Zandvoort
21, France,Circuit Paul Ricard
22, Azerbaijan,Baku City Circuit
23, Monaco,Circuit de Monaco
24, Japan,Suzuka Circuit
25, Singapore,Marina Bay Street Circuit
26, Canada,Circuit Gilles Villeneuve
27, United States of America,Miami International Autodrome
28, Australia,Melbourne Grand Prix Circuit
29, United States of America,Las Vegas Street Circuit
